Rank,Grade,Channel name,Video Uploads,Subscribers,Video views,Sentiment
92nd,A ,Aditya Music,14744,5940275,3871453495,neutral
93rd,A ,hairong zheng,492,394,254252482,neutral
94th,A ,BRIGHT SIDE,1547,16616187,3132608077,positive
95th,A ,Tekashi 6ix9ine,3,3108447,353018727,neutral
96th,A ,Luccas Neto,487,18703101,3564747380,neutral
97th,A ,NollywoodStreams,1528,2794475,1171653272,neutral
98th,A ,MGR PRODUCTION,2069,733903,401477421,neutral
99th,A ,BeckyGVEVO,53,6658776,3518844458,neutral
100th,A ,GMM GRAMMY OFFICIAL,5980,13426454,13503732638,neutral
101st,A ,LetsGoMartin - Nursery Rhymes,215,3665615,934322434,neutral
102nd,A ,HTV2 Channel,5868,3798574,2073246834,neutral
103rd,A ,Drake - Topic,979,1259842,888928894,neutral
104th,A ,And TV,25709,2963630,2474453105,neutral
105th,A ,Soft Box Türkiye,1487,1810809,1068359427,positive
106th,A ,mmoshaya,716,6832523,3881188263,neutral
107th,A ,Rajshri,5608,8808619,4772954260,neutral
108th,A ,Venus,4138,7878536,2898110156,neutral
109th,A ,BIGFUN,373,-- ,941376171,neutral
110th,A ,Bollywood Classics,1698,5532599,2608650285,neutral
111th,A ,Давай поиграем в…,220,3409426,1101115153,neutral
112th,A ,Webs & Tiaras - Toy Monster…,62,7203358,6727576995,neutral
113th,A ,ImagineDragonsVEVO,94,10753521,5191219894,neutral
114th,A ,Wave Music - Bhojpuri,14307,6133550,3379150048,neutral
115th,A ,CookieSwirlC,2874,9213304,9298343650,neutral
116th,A ,Bee Kids Games - Children TV,740,-- ,414535723,neutral
117th,A ,قناة طيور الجنة |…,2218,9174889,8504219475,neutral
118th,A ,Vidol TV,357,595068,338703141,neutral
119th,A ,SIS vs BRO,253,6579270,2260525646,neutral
120th,A ,BLACKPINK,179,11604439,2947790223,neutral
121st,A ,BillionSurpriseToys - Nursery…,223,16271451,5183283439,neutral
122nd,A ,shakiraVEVO,142,19689891,14533614800,neutral
123rd,A ,Super Simple Songs - Kids Songs,445,11419859,10528195079,positive
124th,A ,Fischer's-フィッシャーズ-,1626,5015503,5418686430,neutral
125th,A ,Animal Family,25,5032200,735698294,neutral
126th,A ,Alan Walker,141,17225892,4666424253,neutral
127th,A ,TheEllenShow,9066,27765423,13403860667,neutral
128th,A ,Family Fun Pack,1253,7552928,10014750723,positive
129th,A ,SebastianYatraVEVO,21,2851437,2034588299,neutral
130th,A ,For Kids Learn,66,647110,129490054,neutral
131st,A ,Fozi Mozi,645,3564584,3232333195,neutral
132nd,A ,Osman Vargas,884,3463566,3661895184,neutral
133rd,A ,AnuelVEVO,29,1100382,651668495,neutral
134th,A ,Goldmines,143,4679372,341081506,neutral
135th,A ,Oops Zeros,514,548850,104953122,neutral
136th,A ,Miss Katy,605,9684269,5704760485,neutral
137th,A ,Las Ratitas,83,5768549,1308569692,neutral
138th,A ,Marília Mendonça,69,9254263,5295016523,neutral
139th,A ,LEGO,19293,6207095,8118958980,neutral
140th,A ,Scopian01,801,1319834,1219988066,neutral
141st,A ,Sonotek Haryanvi,6370,5873167,2130708836,neutral
142nd,A ,DuDuPopTOY,683,4181344,2171187145,neutral
143rd,A ,ChiChi TV Siêu Nhân,421,-- ,2600394871,neutral
144th,A ,MusicTalentNow,1487,-- ,3252752212,neutral
145th,A ,YoungBoy Never Broke Again,186,3318535,1665788162,neutral
146th,A ,Rotana,5635,8539250,5738075498,neutral
147th,A ,Volga Video,28663,6498020,3366976772,neutral
148th,A ,Trap Nation,1458,22331643,7760362155,neutral
149th,A ,FunFun ToyShow,447,4533982,1881201276,neutral
150th,A ,EminemVEVO,80,26650488,11317532576,neutral
151st,A ,Sonotek,8324,6591994,2590857091,neutral
152nd,A ,KanalD,11237,3495070,5091658907,neutral
153rd,A ,Family GamesTV,282,-- ,1287242549,neutral
154th,A ,ZeeQ India,336,2435635,1105398427,neutral
155th,A ,Nick Jr.,1817,3698840,3081781019,neutral
156th,A ,eltrece,79561,4386345,4279834573,neutral
157th,A ,KH Show,31,-- ,106302038,neutral
158th,A ,Worldwide Records Bhojpuri,1872,5264436,2669933333,neutral
159th,A ,Marshmello,187,19005512,3242956390,neutral
160th,A ,Geet MP3,144,5743286,1341490754,neutral
161st,A ,KiKiDo,263,2390570,1130123412,neutral
162nd,A ,CanalKids HD,1500,4298926,1719001155,neutral
163rd,A ,Toys And Little Gaby,192,4016859,859912280,negative
164th,A ,Lady Diana,183,2417650,675927454,neutral
165th,A ,Mazhavil Manorama,28157,3021268,2625773225,neutral
166th,A ,etvteluguindia,61222,4560715,4163302219,neutral
167th,A ,Rainbow ToyTocToc,204,2503093,609961488,neutral
168th,A ,Ultra Music,3586,14813447,9083272850,neutral
169th,A ,Boo Kids,19,574063,114287401,neutral
170th,A ,Boram Tube Vlog [보람튜브…,53,595409,145148497,neutral
171st,A ,ThaiCh8 : ช่อง 8,41034,4830567,3581877042,neutral
172nd,A ,Baby Big Mouth,3177,9038516,10463073138,neutral
173rd,A ,Daddy Yankee,319,16490453,5770555736,neutral
174th,A ,Televisa Telenovelas,14374,5195767,2964680826,neutral
175th,A ,Dude Perfect,185,34489432,6095981611,positive
176th,A ,LES BOYS TV2,116,-- ,387595623,neutral
177th,A ,LuisFonsiVEVO,54,18753006,9179054584,neutral
178th,A ,BabyBus - Kids TV - Songs & Stories,1582,2217196,1547446077,neutral
179th,A ,YRF Music,1047,5555085,2810150130,neutral
180th,A ,1000virtudes,59,770249,170131284,neutral
181st,A ,BIBO TOYS,313,-- ,1574657579,neutral
182nd,A ,Team Films Bhojpuri,14690,4481993,2147683870,neutral
183rd,A ,ChainsmokersVEVO,123,12482234,7310645610,neutral
184th,A ,Strawberry Jam Toys,1101,1967981,629774385,neutral
185th,A ,Mnet Official,10515,4341384,3078108849,neutral
186th,A ,ETV Jabardasth,3256,4025243,2988842536,neutral
187th,A ,Ryan's Family Review,313,2578422,3058055395,neutral
188th,A ,ArianaGrandeVevo,81,19188513,9364195758,neutral
189th,A ,Cardi B,32,6199546,1706942190,neutral
190th,A ,Kids Tv Show,8,-- ,86516866,neutral
191st,A ,OLIE THE CUB,546,5045423,1451072025,neutral
192nd,A ,BERITA TERBARU HD,4873,140363,86550277,neutral
193rd,A ,Happy Funny Kids Toys Pretend Play,850,-- ,1778372917,positive
194th,A ,jbalvinVEVO,128,14086158,10274251157,neutral
195th,A ,Senya ToysReview,84,1610241,519942081,neutral
196th,A ,Sen Anlat Karadeniz,681,2512665,1221563028,neutral
197th,A ,Mr. Gengar,2032,1057326,767545532,neutral
198th,A ,Learn Colors Keiki,6,-- ,89116512,neutral
199th,A ,WatchMojo.com,15345,18586234,11155709987,neutral
200th,A ,Troom Troom,644,8817758,2641942608,neutral
201st,A ,JesseAndMike,393,6132965,4615275531,neutral
202nd,A ,TotoyKids,709,10731825,5320123608,neutral
203rd,A ,Learn and Play,146,2913780,699759061,neutral
204th,A ,Aaj Tak,79184,9592793,2797505747,neutral
205th,A ,Ninja,720,17828322,1284842810,neutral
206th,A ,CartoonKiDS BR,919,3742294,1269907194,neutral
207th,A ,Emily Tube,484,7500762,2489237217,neutral
208th,A ,عائلة فيحان,603,3363912,2084734767,neutral
209th,A ,Cartoon Network,6453,3571762,3374207995,neutral
210th,A ,Ly LY ToysReview,33,-- ,90941513,neutral
211th,A ,KatyPerryVEVO,125,26712128,16244535352,neutral
212th,A ,BCC Trolling,3412,7468094,1724254525,neutral
213th,A ,DanTDM,2917,20198608,13558498013,neutral
214th,A ,Beat chất lượng cao,563,-- ,622132999,neutral
215th,A ,David Dobrik,481,8886600,2964214601,neutral
216th,A ,東海オンエア,1083,3600345,2612633025,neutral
217th,A ,AmusementForce,6479,3041069,2218545018,neutral
218th,A ,Funny Sofia Show,71,3611388,735430833,positive
219th,A ,KBS World TV,32124,7390999,5223168496,neutral
220th,A ,Mikecrack,1135,6085829,1873472207,neutral
221st,A ,Peppa Pig - Official Channel,272,5791309,2006762385,neutral
222nd,A ,Genevieve's Playhouse - Toy…,420,5903099,2926005920,neutral
223rd,A ,ItsFunneh,903,3031264,1894890613,neutral
224th,A ,Purana Hindustan,91,-- ,501921413,neutral
225th,A ,DisneyChannelLA,3526,9774825,7561193043,neutral
226th,A ,Lucas and Marcus,341,11664682,2546704375,neutral
227th,A ,Haryanvi Maina,3285,6257643,2787342302,neutral
228th,A ,BuzzFeedVideo,5476,17357278,13969280371,neutral
229th,A ,toycantando,278,8368583,4163736216,neutral
230th,A ,David Guetta,446,18394349,9928572340,neutral
231st,A ,Happy Lives,188,-- ,515722472,positive
232nd,A ,Synergy تامر مرسي,2850,1241829,856728863,neutral
233rd,A ,Cole Bennett - Lyrical Lemonade,310,5251860,1555442427,neutral
234th,A ,GMA Public Affairs,14974,2504473,1667235507,neutral
235th,A ,Salih Reis'in Dünyası,237,-- ,2197191069,neutral
236th,A ,News ThatMatter,365,-- ,77361248,neutral
237th,A ,IndiaTV,120243,6576438,2865575385,neutral
238th,A ,Beam Copphone,1140,1054924,1294100847,neutral
239th,A ,PlayGammer100,7,-- ,261227,neutral
240th,A ,Venus Movies,2830,5721768,2328521668,neutral
241st,A ,Kids smile TV,70,2119502,746637831,positive
242nd,A ,Saturday Night Live,6422,6436457,4744558944,positive
243rd,A ,PopularMMOs,4214,15359835,11881872033,neutral
244th,A ,Maria Clara & JP,392,3967499,1036658065,neutral
245th,A ,Lizos Music,256,3289111,3555452040,neutral
246th,A ,SiaVEVO,93,10579862,6599433518,neutral
247th,A ,MTZ Manuel Turizo,9,3531337,1748814742,neutral
248th,A ,GENIAL,1252,9473119,1293790665,neutral
249th,A ,НТВ,33626,3083128,3084104476,neutral
250th,A ,NaoFun Toys,1893,9515204,4889864688,neutral
251st,A ,Россия 24,111520,2165801,2298969489,neutral
252nd,A ,LosAngelesAzulesVEVO,63,1673608,2633311383,neutral
253rd,A ,Green Gold,583,4035116,2000802080,negative
254th,A ,Flipkart,604,-- ,718345351,neutral
255th,A ,はじめしゃちょー（hajime）…,1713,6880324,5414528635,neutral
256th,A ,Los Juguetes BB,114,-- ,82824448,neutral
257th,A ,NickyJamTV,215,16120428,10323118073,neutral
258th,A ,Hear This Music,26,8453220,4298092532,neutral
259th,A ,Flow La Movie,19,3906670,1310514561,neutral
260th,A ,SyrebralVibes,255,1726047,1035058136,neutral
261st,A ,RsiamMusic :…,1716,11037799,7248944248,neutral
262nd,A ,Mister Max,692,8674860,5793558805,neutral
263rd,A ,Mister Bean Number One Fan in HD -…,1764,4104585,1527175809,neutral
264th,A ,Aditya Movies - Telugu & Hindi,3692,2258716,919189826,neutral
265th,A ,CNN,142427,4686757,3574418617,neutral
266th,A ,RomeoSantosVEVO,139,9198180,6898631721,neutral
267th,A ,ครู นกเล็ก,1795,4525326,4129499307,neutral
268th,  ,MidnightXChannel,--,-- ,190256974,neutral
269th,A ,VanossGaming,859,23590547,9880562011,neutral
270th,A ,Spinnin' Records,8758,22981517,13426887749,neutral
271st,A ,Guava Juice,1165,11524140,4631090552,neutral
272nd,A ,Little Baby Bum - Nursery Rhymes &…,680,16355206,17470709876,negative
273rd,A ,Armoo,177,407066,87279803,neutral
274th,A ,Toys Unlimited,1498,5936545,4000941387,neutral
275th,A ,5-Minute Crafts KIDS,908,6646318,1262160532,neutral
276th,A ,IndiaiStore,6,192230,70748180,neutral
277th,A ,ToysPlay,98,956357,413449527,neutral
278th,A ,Fueled By Ramen,1147,11041504,9921804596,neutral
279th,A ,Star Casablanca | نجوم…,533,3850735,1477710857,neutral
280th,A ,Lachlan,2999,7470765,1774695359,neutral
281st,A ,El Reino a Jugar,248,4554690,2087077770,neutral
282nd,A ,DopeLyrics,526,2726479,1532978759,neutral
283rd,A ,CalvinHarrisVEVO,103,12841749,9509573498,neutral
284th,A ,Wow Kidz,3332,5241934,3537059454,positive
285th,A ,SriBalajiMovies,18006,4504323,3345586246,neutral
286th,A ,Blippi Español,44,2196327,862348058,neutral
287th,A ,Just Kidding Pranks,708,2258303,1471393006,neutral
288th,A ,"せんももあいしーCh Sen,…",2512,3727952,3769698238,neutral
289th,A ,Mnet K-POP,12959,8046493,4436534481,neutral
290th,A ,Bounce Patrol Kids,145,4000495,2577351909,neutral
291st,A ,Blippi Toys,107,2358324,1810656447,neutral
292nd,A ,Sham Drama شام دراما,6494,-- ,885923365,negative
293rd,A ,The ACE Family,353,11312621,1726592121,neutral
294th,A ,Kırgın Çiçekler,2805,1050905,1630495982,neutral
295th,A ,ThaliaVEVO,131,2346267,2374791524,neutral
296th,A ,Raffy Tulfo in Action,1649,1446017,615545631,positive
297th,A ,Phim HOT TK-L,2529,1221977,699287518,positive
298th,A ,KSI,1164,19631845,4491304033,neutral
299th,A ,Logan Paul Vlogs,562,18487595,3981804622,neutral
300th,A ,Come Play With Me,189,4013370,3897267590,neutral
301st,A ,SonyMusicSouthVEVO,3513,4577095,3540450188,neutral
302nd,A ,michaeljacksonVEVO,92,8529288,5616336614,neutral
303rd,A ,MBCentertainment,58514,4030820,5187454046,neutral
304th,A ,MrBeast,676,7990777,896576201,neutral
305th,A ,TaylorSwiftVEVO,86,28133287,15476966737,neutral
306th,A ,JuegaGerman,1467,28889480,7825801479,neutral
307th,A ,DrakeVEVO,38,9987454,4908039128,neutral
308th,A ,حِرف إبداعية في 5…,845,2599157,567724680,neutral
309th,A ,Jake Paul,694,16902261,4939708131,neutral
310th,A ,jypentertainment,797,9509594,4761221692,neutral
311th,A ,Just For Laughs Gags,4146,7985983,4340439049,neutral
312th,A ,Anand Audio,3426,2306908,1228011095,neutral
313th,A ,La Rosa Hd,1459,2287705,1099701030,neutral
314th,A ,MalumaVEVO,90,15164001,10120591416,neutral
315th,A ,icanrockyourworld,8,3891968,2420286079,neutral
316th,A ,La Rosa de Guadalupe,1454,3424646,1415089435,neutral
317th,A ,Tom Slime,289,2651748,750583917,neutral
318th,A ,T-Play,116,1638966,518466711,neutral
319th,A ,Caso Cerrado,2646,3932772,2203762925,neutral
320th,A ,Coldplay,202,12635238,7881678521,neutral
321st,A ,realnollywoodclips,2898,3840010,1222587049,neutral
322nd,A ,Rahatlatıcı Videolar,218,817938,214359214,neutral
323rd,A ,Ghiền Phim Hàn,854,-- ,1072407139,neutral
324th,A ,GMA News,269065,2599175,2786949164,neutral
325th,A ,Hamtaro Gasa,395,976130,651702290,neutral
326th,A ,Candy Play TV Russian,198,709587,166534634,neutral
327th,A ,Bollywood Event Talkies,10,-- ,350,neutral
328th,A ,SSSniperWolf,1930,11657566,2537293803,neutral
329th,A ,Stephen Sharer,390,4149328,1410581249,neutral
330th,A ,Toys Kids TV,52,2822933,514414041,neutral
331st,A ,Brancoala,692,3938021,1942176648,neutral
332nd,A ,Rainbow Learning,922,4512958,1946973161,neutral
333rd,A ,Markiplier,4196,21770508,10053970560,neutral
334th,A ,Smile 4ever,115,636609,102185590,positive
335th,A ,ninja,6,547,2127264,neutral
336th,A ,Cut,819,5961268,1709469538,neutral
337th,A ,MikelTube,557,1992474,1230314566,neutral
338th,A ,Çizgi Film Oyuncakları,31,2648105,510380802,neutral
339th,A ,Soulstice Music Group,11,92158,63748543,neutral
340th,A ,الحب لا يفهم الكلام,148,912967,448991721,neutral
341st,A ,Codiscos,5179,3865413,2906524921,neutral
342nd,A ,VEGETTA777,4710,23775389,9365416666,neutral
343rd,A ,Kammy TV,19,480785,95827909,neutral
344th,A ,Amazing Kids Toys Review,431,5005927,1273050905,positive
345th,A ,NoCopyrightSounds,524,18178014,4912160820,neutral
346th,A ,Collins Key,216,13779702,2201959243,neutral
347th,A ,Jhankar Station 07,205,-- ,78360362,neutral
348th,A ,tlc uk,1355,1625205,977945315,neutral
349th,A ,Enes Batur,1659,8427099,3675163152,neutral
350th,A ,Goldmines Hindi,292,1719279,544187059,neutral
351st,A ,Penguins TV,209,1121491,147266521,neutral
352nd,A ,Think Music India,2356,3181532,1947872233,neutral
353rd,A ,Rawan and Rayan,304,2510058,543214595,neutral
354th,A ,EnriqueIglesiasVEVO,129,13859359,11245381351,neutral
355th,A ,OmFut,4534,1263614,359983508,neutral
356th,A ,jacksepticeye,3883,20279518,10029328079,neutral
357th,A ,thairath,93500,3992315,2493477931,neutral
358th,A ,Purani Kahani,66,-- ,205282926,neutral
359th,A ,Você Sabia?,599,15494356,1605548778,neutral
360th,A ,Barcroft TV,2133,5303195,4163257751,neutral
361st,A ,DisneyMusicVEVO,714,11055805,6910079660,neutral
362nd,A ,Martin Garrix,90,10432036,2856357178,neutral
363rd,A ,Ali-A,2914,14847336,3890903315,neutral
364th,A ,Nickelodeon,2856,4493420,2664911984,neutral
365th,A ,MBC مصر,7783,4762083,2868206239,neutral
366th,A ,rezendeevil,6515,19251064,6724579643,neutral
367th,A ,TimKo Kid,230,1985005,671623629,neutral
368th,A ,Wiz Khalifa,441,16079571,7977828657,neutral
369th,A ,shfa,328,2009235,636233141,neutral
370th,A ,ABS-CBN News,80773,4545223,3420909679,neutral
371st,A ,RizaNovaUZ,8749,2220541,2254176139,neutral
372nd,A ,Super Polina,253,3017957,730924615,positive
373rd,A ,infobells - Telugu,168,4290854,2352013080,neutral
374th,A ,Bruno Mars,66,22429704,9585784755,neutral
375th,A ,Atlantic Records,1051,8372200,7657631499,neutral
376th,A ,Kinder Spielzeug Kanal,413,1125064,549165956,neutral
377th,A ,خليجية,12492,3058938,1932816826,neutral
378th,A ,KN Channel,559,4172856,2133463422,neutral
379th,A ,BANGTANTV,876,11384073,1716165250,neutral
380th,A ,Chotoonz TV,1031,3886360,2653184170,neutral
381st,A ,Letupita725HD★,1824,1952190,2634818164,neutral
382nd,A ,Pina Records,314,8053378,4579379824,neutral
383rd,A ,El Blog del Narco,4449,-- ,70680037,neutral
384th,A ,Ultra Regional,3502,2775635,1733863531,neutral
385th,A ,Muselk,1232,6735667,1909329812,neutral
386th,A ,avex,9197,4184884,6194595714,neutral
387th,A ,The Late Late Show with James…,2798,16032156,4718424990,negative
388th,A ,White Hill Music,2709,4990716,2003373411,neutral
389th,A ,Turma da Mônica,695,8831316,6994765647,neutral
390th,A ,Bad Bunny,11,12685253,2612504875,negative
391st,A ,Like Nastya,214,9702841,2582895675,neutral
392nd,A ,apple kids,70,-- ,370257049,neutral
393rd,A ,DLS News,1579,-- ,514253195,neutral
394th,A ,Thơ Nguyễn,630,4808885,2489747155,neutral
395th,A ,Hasbro,8177,2646160,3506432060,neutral
396th,A ,prenses elif,4313,2450645,3597618217,neutral
397th,A ,ARY Digital,14632,4020969,2036985343,neutral
398th,A ,Dessin Animé pour Enfants,37,1313196,393630715,neutral
399th,A ,Telemundo,14718,5410907,3383609663,neutral
400th,A ,Izabeloi,104,718687,175347702,neutral
401st,A ,IGN,129191,10679348,8056294817,neutral
402nd,A ,Shoof Drama | شوف دراما,4267,1489506,729940719,neutral
403rd,A ,Flowers Comedy,2689,2114721,1512264736,neutral
404th,A ,Got Talent Global,992,5018248,2143367052,neutral
405th,A ,Alpha TV Greece,16299,340403,410943636,neutral
406th,A ,FunToysMedia,369,4363996,1910133334,neutral
407th,A ,HaAshVEVO,132,4159780,3687360151,neutral
408th,A ,Goo Goo Colors,136,1466132,565375531,neutral
409th,A ,Stone Music Entertainment,4889,5116532,3865093349,neutral
410th,A ,HIMAWARIちゃんねる,945,1178829,1500659550,neutral
411th,A ,ABC Kids TV,164,-- ,581905887,neutral
412th,A ,Jingle Toons,166,5699402,1982602090,neutral
413th,A ,Cartoon Network UK,2740,2516727,1768852473,neutral
414th,A ,TheGrefg,2162,7624064,1783864167,neutral
415th,A ,大劇獨播MZTV,5904,1078228,1112855844,neutral
416th,A ,MEGA Oficial,18326,3977783,3031861293,neutral
417th,A ,AuthenticGames,3442,15018366,6057239871,neutral
418th,A ,KHANDESHI MOVIES,46,3804619,716709482,neutral
419th,A ,Princess Hime Suite…,1351,1212057,2734803314,neutral
420th,A ,Blippi,146,2562315,2129623713,neutral
421st,A ,Поззи,1591,4036875,1744990310,neutral
422nd,A ,Chad Wild Clay,240,4308377,743249597,positive
423rd,A ,Dr. Phil,7344,3048075,2462265858,neutral
424th,A ,RCM Music Bhojpuri,3226,2348868,715715655,neutral
425th,A ,OYUNCAKOYNUYORUM,445,2040038,983320601,neutral
426th,A ,Art TV,63,978949,471248782,neutral
427th,A ,POPS MUSIC,27103,5620849,5783417467,neutral
428th,A ,ĐÔNG TÂY PROMOTION OFFICIAL,6013,2937893,1894511245,neutral
429th,A ,Totoykids Español,331,2719453,1030161157,neutral
430th,A ,Los Juguetes Son Divertidos,68,2382616,551969826,neutral
431st,A ,RCTI - LAYAR DRAMA INDONESIA,27261,2564421,2394808587,neutral
432nd,A ,Kluna Tik Compilations Channel,89,2308056,905063331,neutral
433rd,A ,CreativeKids,425,1674121,1365779337,neutral
434th,A ,As Aventuras de Poliana,417,2507568,474832282,neutral
435th,A ,La Academia 2018,3367,75204,55530034,neutral
436th,A ,JustinBieberVEVO,123,34284457,17806717170,neutral
437th,A ,MK MUSIC,2922,5340320,2180744624,neutral
438th,A ,LIV Kids Hindi,1448,1637590,802845001,neutral
439th,A ,SuperMarioLogan,556,6284767,3429851617,neutral
440th,A ,MigosVEVO,46,2025006,996504205,neutral
441st,A ,HUM TV,13570,3156767,2240702588,neutral
442nd,A ,AMARIN TVHD,71230,3460726,2713462365,neutral
443rd,A ,เรื่องเล่าเช้านี้…,55857,3551228,2355053169,neutral
444th,A ,TravisScottVEVO,35,2020441,1017381875,neutral
445th,A ,FAMILY BOX,474,1155142,724294260,neutral
446th,A ,Bebe Rexha,55,4988442,1653213776,neutral
447th,A ,水溜りボンド,1385,3392050,1934297777,neutral
448th,A ,Zee Tamil,48916,2805442,1954282147,neutral
449th,A ,Clean Bandit,67,6067950,3889083754,positive
450th,A ,Sesame Street,2588,4043040,5203293409,neutral
451st,A ,HikakinTV,2498,6544181,5141974207,neutral
